date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-08-18,822859,DraftKings,2026-08-18T11:43:27,華盛頓國民,德州遊騎兵,+134,-162
2026-08-18,822938,DraftKings,2026-08-18T11:43:27,多倫多藍鳥,坦帕灣光芒,+129,-156
2026-08-18,823341,DraftKings,2026-08-18T11:43:27,底特律老虎,匹茲堡海盜,+113,-136
2026-08-18,823423,DraftKings,2026-08-18T11:43:27,邁阿密馬林魚,費城費城人,+209,-259
2026-08-18,823586,DraftKings,2026-08-18T11:43:27,聖地牙哥教士,紐約大都會,-118,-102
2026-08-18,823667,DraftKings,2026-08-18T11:43:27,亞特蘭大勇士,明尼蘇達雙城,-132,+109
2026-08-18,823749,DraftKings,2026-08-18T11:43:27,西雅圖水手,密爾瓦基釀酒人,+134,-162
2026-08-18,824075,DraftKings,2026-08-18T11:43:27,運動家,堪薩斯市皇家,+113,-136
2026-08-18,824154,DraftKings,2026-08-18T11:43:27,洛杉磯天使,休士頓太空人,+142,-172
2026-08-18,824319,DraftKings,2026-08-18T11:43:27,洛杉磯道奇,科羅拉多洛磯,-184,+152
2026-08-18,824398,DraftKings,2026-08-18T11:43:27,舊金山巨人,克里夫蘭守護者,+155,-188
2026-08-18,824475,DraftKings,2026-08-18T11:43:27,聖路易紅雀,辛辛那提紅人,-123,+102
2026-08-18,824639,DraftKings,2026-08-18T11:43:27,芝加哥白襪,芝加哥小熊,+144,-175
2026-08-18,824723,DraftKings,2026-08-18T11:43:27,亞利桑那響尾蛇,波士頓紅襪,+141,-171
2026-08-18,824803,DraftKings,2026-08-18T11:43:27,紐約洋基,巴爾的摩金鶯,-117,-103
