date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-08-01,822781,台灣運彩,2026-08-01T00:08:05,聖路易紅雀,多倫多藍鳥,2.33,1.38
2026-08-01,822944,台灣運彩,2026-08-01T00:08:05,芝加哥白襪,坦帕灣光芒,2.05,1.48
2026-08-01,823109,台灣運彩,2026-08-01T00:08:05,明尼蘇達雙城,西雅圖水手,2.15,1.43
2026-08-01,823269,台灣運彩,2026-08-01T00:08:05,舊金山巨人,聖地牙哥教士,2.00,1.50
2026-08-01,823594,台灣運彩,2026-08-01T00:08:05,邁阿密馬林魚,紐約大都會,1.92,1.58
2026-08-01,823920,台灣運彩,2026-08-01T00:08:05,波士頓紅襪,洛杉磯道奇,2.15,1.43
2026-08-01,824000,台灣運彩,2026-08-01T00:08:05,密爾瓦基釀酒人,洛杉磯天使,1.42,2.20
2026-08-01,824162,台灣運彩,2026-08-01T00:08:05,德州遊騎兵,休士頓太空人,1.92,1.58
2026-08-01,824326,台灣運彩,2026-08-01T00:08:05,堪薩斯市皇家,科羅拉多洛磯,1.70,1.80
2026-08-01,824405,台灣運彩,2026-08-01T00:08:05,亞利桑那響尾蛇,克里夫蘭守護者,1.98,1.52
2026-08-01,824485,台灣運彩,2026-08-01T00:08:05,匹茲堡海盜,辛辛那提紅人,1.58,1.92
2026-08-01,824649,台灣運彩,2026-08-01T00:08:05,紐約洋基,芝加哥小熊,2.10,1.45
2026-08-01,824808,台灣運彩,2026-08-01T00:08:05,費城費城人,巴爾的摩金鶯,1.84,1.66
2026-08-01,824890,台灣運彩,2026-08-01T00:08:05,華盛頓國民,亞特蘭大勇士,1.85,1.65
2026-08-01,824972,台灣運彩,2026-08-01T00:08:05,底特律老虎,運動家,1.56,1.94
