date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-06-28,822795,台灣運彩,2026-06-28T11:00:07,德州遊騎兵,多倫多藍鳥,1.92,1.58
2026-06-28,822959,台灣運彩,2026-06-28T11:00:07,亞利桑那響尾蛇,坦帕灣光芒,2.20,1.42
2026-06-28,823037,台灣運彩,2026-06-28T11:00:07,邁阿密馬林魚,聖路易紅雀,1.95,1.55
2026-06-28,823204,台灣運彩,2026-06-28T11:00:07,亞特蘭大勇士,舊金山巨人,1.45,2.10
2026-06-28,823281,台灣運彩,2026-06-28T11:00:07,洛杉磯道奇,聖地牙哥教士,1.45,2.10
2026-06-28,823362,台灣運彩,2026-06-28T11:00:07,辛辛那提紅人,匹茲堡海盜,1.95,1.55
2026-06-28,823608,台灣運彩,2026-06-28T11:00:07,費城費城人,紐約大都會,1.50,2.00
2026-06-28,823686,台灣運彩,2026-06-28T11:00:07,科羅拉多洛磯,明尼蘇達雙城,2.07,1.46
2026-06-28,823769,台灣運彩,2026-06-28T11:00:07,芝加哥小熊,密爾瓦基釀酒人,2.47,1.33
2026-06-28,824011,台灣運彩,2026-06-28T11:00:07,運動家,洛杉磯天使,1.63,1.87
2026-06-28,824256,台灣運彩,2026-06-28T11:00:07,休士頓太空人,底特律老虎,1.58,1.92
2026-06-28,824422,台灣運彩,2026-06-28T11:00:07,西雅圖水手,克里夫蘭守護者,1.80,1.70
2026-06-28,824580,台灣運彩,2026-06-28T11:00:07,堪薩斯市皇家,芝加哥白襪,1.94,1.56
2026-06-28,824744,台灣運彩,2026-06-28T11:00:07,紐約洋基,波士頓紅襪,1.82,1.68
2026-06-28,824821,台灣運彩,2026-06-28T11:00:07,華盛頓國民,巴爾的摩金鶯,2.33,1.38
