date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-08-25,822693,,,科羅拉多洛磯,華盛頓國民,,
2026-08-25,822773,DraftKings,2026-08-25T10:18:09,堪薩斯市皇家,多倫多藍鳥,+103,-125
2026-08-25,823016,,,巴爾的摩金鶯,聖路易紅雀,,
2026-08-25,823098,DraftKings,2026-08-25T10:18:09,費城費城人,西雅圖水手,+100,-120
2026-08-25,823181,DraftKings,2026-08-25T10:18:09,辛辛那提紅人,舊金山巨人,-107,-112
2026-08-25,823259,DraftKings,2026-08-25T10:18:09,匹茲堡海盜,聖地牙哥教士,-102,-118
2026-08-25,823505,DraftKings,2026-08-25T10:18:09,休士頓太空人,紐約洋基,+123,-149
2026-08-25,823585,DraftKings,2026-08-25T10:18:09,密爾瓦基釀酒人,紐約大都會,-167,+138
2026-08-25,823826,,,波士頓紅襪,邁阿密馬林魚,,
2026-08-25,823989,DraftKings,2026-08-25T10:18:09,克里夫蘭守護者,洛杉磯天使,-136,+113
2026-08-25,824233,DraftKings,2026-08-25T10:18:09,坦帕灣光芒,底特律老虎,-136,+113
2026-08-25,824556,DraftKings,2026-08-25T10:18:09,德州遊騎兵,芝加哥白襪,-114,-105
2026-08-25,824881,DraftKings,2026-08-25T10:18:09,洛杉磯道奇,亞特蘭大勇士,-157,+130
2026-08-25,824962,DraftKings,2026-08-25T10:18:09,明尼蘇達雙城,運動家,-156,+129
2026-08-25,825042,DraftKings,2026-08-25T10:18:09,芝加哥小熊,亞利桑那響尾蛇,-114,-106
