date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-09-25,822681,DraftKings,2026-09-25T16:34:20,紐約大都會,華盛頓國民,-136,+113
2026-09-25,822760,DraftKings,2026-09-25T16:34:20,辛辛那提紅人,多倫多藍鳥,+113,-136
2026-09-25,823085,DraftKings,2026-09-25T16:34:20,洛杉磯天使,西雅圖水手,+112,-135
2026-09-25,823167,DraftKings,2026-09-25T16:34:20,洛杉磯道奇,舊金山巨人,-388,+300
2026-09-25,823248,DraftKings,2026-09-25T16:34:20,亞利桑那響尾蛇,聖地牙哥教士,+114,-138
2026-09-25,823409,DraftKings,2026-09-25T16:34:20,坦帕灣光芒,費城費城人,+141,-171
2026-09-25,823491,DraftKings,2026-09-25T16:34:20,巴爾的摩金鶯,紐約洋基,+119,-143
2026-09-25,823652,DraftKings,2026-09-25T16:34:20,德州遊騎兵,明尼蘇達雙城,-112,-108
2026-09-25,823735,DraftKings,2026-09-25T16:34:20,聖路易紅雀,密爾瓦基釀酒人,+151,-184
2026-09-25,823816,DraftKings,2026-09-25T16:34:20,亞特蘭大勇士,邁阿密馬林魚,-125,+104
2026-09-25,824058,DraftKings,2026-09-25T16:34:20,克里夫蘭守護者,堪薩斯市皇家,-142,+118
2026-09-25,824220,DraftKings,2026-09-25T16:34:20,匹茲堡海盜,底特律老虎,-109,-110
2026-09-25,824544,DraftKings,2026-09-25T16:34:20,科羅拉多洛磯,芝加哥白襪,+187,-230
2026-09-25,824703,DraftKings,2026-09-25T16:34:20,芝加哥小熊,波士頓紅襪,-117,-102
2026-09-25,824706,DraftKings,2026-09-25T16:34:20,芝加哥小熊,波士頓紅襪,-117,-102
2026-09-25,824947,,,休士頓太空人,運動家,,
