date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-08-15,822775,DraftKings,2026-08-15T23:19:47,紐約洋基,多倫多藍鳥,-165,+153
2026-08-15,822941,DraftKings,2026-08-15T23:19:47,巴爾的摩金鶯,坦帕灣光芒,+136,-146
2026-08-15,823184,DraftKings,2026-08-15T23:19:47,科羅拉多洛磯,舊金山巨人,+151,-162
2026-08-15,823347,DraftKings,2026-08-15T23:19:47,波士頓紅襪,匹茲堡海盜,-120,+112
2026-08-15,823588,DraftKings,2026-08-15T23:19:47,華盛頓國民,紐約大都會,+126,-135
2026-08-15,823671,DraftKings,2026-08-15T23:19:47,費城費城人,明尼蘇達雙城,-134,+125
2026-08-15,823914,DraftKings,2026-08-15T23:19:47,密爾瓦基釀酒人,洛杉磯道奇,-123,+114
2026-08-15,823990,DraftKings,2026-08-15T23:19:47,堪薩斯市皇家,洛杉磯天使,+138,-148
2026-08-15,824157,DraftKings,2026-08-15T23:19:47,西雅圖水手,休士頓太空人,+111,-119
2026-08-15,824239,DraftKings,2026-08-15T23:19:47,芝加哥白襪,底特律老虎,+126,-135
2026-08-15,824400,DraftKings,2026-08-15T23:19:47,聖地牙哥教士,克里夫蘭守護者,+108,-116
2026-08-15,824480,DraftKings,2026-08-15T23:19:47,邁阿密馬林魚,辛辛那提紅人,-102,-105
2026-08-15,824644,DraftKings,2026-08-15T23:19:47,聖路易紅雀,芝加哥小熊,+163,-176
2026-08-15,824884,DraftKings,2026-08-15T23:19:47,亞利桑那響尾蛇,亞特蘭大勇士,+119,-127
2026-08-15,824966,DraftKings,2026-08-15T23:19:47,德州遊騎兵,運動家,-140,+131
