date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-09-05,822850,DraftKings,2026-09-05T08:38:38,坦帕灣光芒,德州遊騎兵,-110,-110
2026-09-05,823094,,,運動家,西雅圖水手,,
2026-09-05,823257,DraftKings,2026-09-05T08:38:38,紐約洋基,聖地牙哥教士,-106,-114
2026-09-05,823335,DraftKings,2026-09-05T08:38:38,洛杉磯天使,匹茲堡海盜,+149,-181
2026-09-05,823419,DraftKings,2026-09-05T08:38:38,亞特蘭大勇士,費城費城人,+135,-163
2026-09-05,823577,DraftKings,2026-09-05T08:38:38,舊金山巨人,紐約大都會,+153,-186
2026-09-05,823823,,,芝加哥小熊,邁阿密馬林魚,,
2026-09-05,823904,DraftKings,2026-09-05T08:38:38,華盛頓國民,洛杉磯道奇,+188,-231
2026-09-05,824066,DraftKings,2026-09-05T08:38:38,多倫多藍鳥,堪薩斯市皇家,-107,-112
2026-09-05,824145,DraftKings,2026-09-05T08:38:38,亞利桑那響尾蛇,休士頓太空人,-108,-112
2026-09-05,824310,DraftKings,2026-09-05T08:38:38,聖路易紅雀,科羅拉多洛磯,-126,+104
2026-09-05,824389,,,底特律老虎,克里夫蘭守護者,,
2026-09-05,824468,DraftKings,2026-09-05T08:38:38,密爾瓦基釀酒人,辛辛那提紅人,-167,+138
2026-09-05,824553,DraftKings,2026-09-05T08:38:38,明尼蘇達雙城,芝加哥白襪,+101,-122
2026-09-05,824795,DraftKings,2026-09-05T08:38:38,波士頓紅襪,巴爾的摩金鶯,-143,+119
