date,game_pk,sportsbook,captured_at_tw,away_zh,home_zh,away_moneyline,home_moneyline
2026-09-04,822852,DraftKings,2026-09-04T08:49:00,坦帕灣光芒,德州遊騎兵,-115,-105
2026-09-04,823093,DraftKings,2026-09-04T08:49:00,運動家,西雅圖水手,+180,-221
2026-09-04,823256,DraftKings,2026-09-04T08:49:00,紐約洋基,聖地牙哥教士,-131,+108
2026-09-04,823338,DraftKings,2026-09-04T08:49:00,洛杉磯天使,匹茲堡海盜,+168,-205
2026-09-04,823418,DraftKings,2026-09-04T08:49:00,亞特蘭大勇士,費城費城人,-109,-110
2026-09-04,823579,DraftKings,2026-09-04T08:49:00,舊金山巨人,紐約大都會,+157,-191
2026-09-04,823824,DraftKings,2026-09-04T08:49:00,芝加哥小熊,邁阿密馬林魚,-131,+109
2026-09-04,823905,DraftKings,2026-09-04T08:49:00,華盛頓國民,洛杉磯道奇,+243,-306
2026-09-04,824067,DraftKings,2026-09-04T08:49:00,多倫多藍鳥,堪薩斯市皇家,+101,-121
2026-09-04,824146,DraftKings,2026-09-04T08:49:00,亞利桑那響尾蛇,休士頓太空人,+109,-131
2026-09-04,824311,,,聖路易紅雀,科羅拉多洛磯,,
2026-09-04,824387,DraftKings,2026-09-04T08:49:00,底特律老虎,克里夫蘭守護者,+114,-137
2026-09-04,824424,DraftKings,2026-09-04T08:49:00,底特律老虎,克里夫蘭守護者,+114,-137
2026-09-04,824471,DraftKings,2026-09-04T08:49:00,密爾瓦基釀酒人,辛辛那提紅人,-163,+135
2026-09-04,824554,DraftKings,2026-09-04T08:49:00,明尼蘇達雙城,芝加哥白襪,+104,-126
2026-09-04,824797,DraftKings,2026-09-04T08:49:00,波士頓紅襪,巴爾的摩金鶯,-120,-101
