game_pk,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,total_line,over_prob,under_prob,totals_pick
824337,邁阿密馬林魚 @ 科羅拉多洛磯,10000,2.3,5.67,7.97,0.1667,0.8333,6.00,1.20,台灣運彩,1.38,2.33,-0.5579,0.4041,科羅拉多洛磯,projected_recent_lineup_order,10.5,0.2465,0.7535,小分
824740,華盛頓國民 @ 波士頓紅襪,10000,5.16,2.27,7.42,0.7546,0.2454,1.33,4.07,台灣運彩,2.00,1.50,0.2546,-0.4213,華盛頓國民,official_mlb_boxscore,9.5,0.2684,0.7316,小分
824660,聖地牙哥教士 @ 芝加哥小熊,10000,2.92,4.87,7.79,0.2742,0.7258,3.65,1.38,台灣運彩,1.90,1.60,-0.2521,0.1008,芝加哥小熊,projected_recent_lineup_order,12.5,0.1319,0.8681,小分
823530,底特律老虎 @ 紐約洋基,10000,3.73,5.61,9.35,0.3013,0.6987,3.32,1.43,台灣運彩,2.15,1.43,-0.1638,-0.0006,不推薦,projected_recent_lineup_order,9.5,0.436,0.564,小分
823767,辛辛那提紅人 @ 密爾瓦基釀酒人,10000,3.23,4.8,8.03,0.3138,0.6862,3.19,1.46,台灣運彩,2.10,1.45,-0.1624,-0.0035,不推薦,projected_recent_lineup_order,8.5,0.4098,0.5902,小分
824094,坦帕灣光芒 @ 堪薩斯市皇家,10000,2.81,4.23,7.04,0.3138,0.6862,3.19,1.46,台灣運彩,1.50,2.00,-0.3529,0.1862,堪薩斯市皇家,projected_recent_lineup_order,10.5,0.1765,0.8235,小分
824419,德州遊騎兵 @ 克里夫蘭守護者,10000,3.46,1.8,5.26,0.6694,0.3306,1.49,3.02,台灣運彩,1.82,1.68,0.1199,-0.2646,德州遊騎兵,official_mlb_boxscore,7.5,0.2193,0.7807,小分
824818,芝加哥白襪 @ 巴爾的摩金鶯,10000,4.13,2.43,6.56,0.6612,0.3388,1.51,2.95,台灣運彩,1.92,1.58,0.1404,-0.2941,芝加哥白襪,official_mlb_boxscore,10.5,0.1424,0.8576,小分
824905,聖路易紅雀 @ 亞特蘭大勇士,10000,4.31,2.56,6.86,0.6568,0.3432,1.52,2.91,台灣運彩,1.95,1.55,0.144,-0.302,聖路易紅雀,projected_recent_lineup_order,9.5,0.218,0.782,小分
824985,洛杉磯道奇 @ 運動家,10000,5.2,4.04,9.24,0.5783,0.4217,1.73,2.37,台灣運彩,1.36,2.40,-0.157,0.005,運動家,projected_recent_lineup_order,10.5,0.3588,0.6412,小分
824174,明尼蘇達雙城 @ 休士頓太空人,10000,3.35,2.45,5.79,0.574,0.426,1.74,2.35,台灣運彩,1.95,1.55,0.0612,-0.2192,明尼蘇達雙城,projected_recent_lineup_order,8.5,0.2049,0.7951,小分
823446,匹茲堡海盜 @ 費城費城人,10000,5.16,4.19,9.35,0.5587,0.4413,1.79,2.27,台灣運彩,1.98,1.52,0.0536,-0.2166,匹茲堡海盜,projected_recent_lineup_order,7.5,0.6114,0.3886,大分
825064,舊金山巨人 @ 亞利桑那響尾蛇,10000,2.53,2.41,4.93,0.4753,0.5247,2.10,1.91,台灣運彩,1.88,1.62,-0.0566,-0.0926,不推薦,projected_recent_lineup_order,9.5,0.0833,0.9167,小分
822791,紐約大都會 @ 多倫多藍鳥,10000,2.9,2.51,5.41,0.5094,0.4906,1.96,2.04,台灣運彩,1.73,1.77,-0.0686,-0.0744,不推薦,projected_recent_lineup_order,8.5,0.1687,0.8313,小分
