game_pk,game_time_tw,game_time_utc,matchup_zh,simulations,avg_away_score,avg_home_score,avg_total,away_win_prob,home_win_prob,away_fair_odds,home_fair_odds,sportsbook,away_market_odds,home_market_odds,away_edge,home_edge,moneyline_pick,lineup_source,source,data_quality,raw_avg_away_score,raw_avg_home_score,raw_avg_total,total_line,over_prob,under_prob,totals_pick
823514,2026-08-09 03:05,2026-08-08T19:05:00Z,亞特蘭大勇士 @ 紐約洋基,10000,3.55,3.15,6.7,0.4633,0.5367,2.16,1.86,DraftKings,-135,+112,-0.1112,0.065,紐約洋基,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,5.4,3.08,8.49,6.5,,,無大小分盤口
823834,2026-08-09 04:10,2026-08-08T20:10:00Z,洛杉磯天使 @ 邁阿密馬林魚,10000,2.84,2.98,5.82,0.4065,0.5935,2.46,1.68,DraftKings,+137,-166,-0.0154,-0.0306,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,1.84,2.63,4.46,6.0,,,無大小分盤口
824726,2026-08-09 04:10,2026-08-08T20:10:00Z,運動家 @ 波士頓紅襪,10000,2.99,5.28,8.27,0.2079,0.7921,4.81,1.26,DraftKings,+197,-243,-0.1288,0.0836,波士頓紅襪,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.82,3.13,6.95,8.5,,,無大小分盤口
823426,2026-08-09 06:05,2026-08-08T22:05:00Z,多倫多藍鳥 @ 費城費城人,10000,3.27,4.31,7.58,0.3033,0.6967,3.30,1.44,DraftKings,+134,-162,-0.1241,0.0784,費城費城人,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.14,3.78,5.91,7.5,,,無大小分盤口
823348,2026-08-09 06:40,2026-08-08T22:40:00Z,紐約大都會 @ 匹茲堡海盜,10000,3.4,3.18,6.58,0.5225,0.4775,1.91,2.09,DraftKings,+118,-142,0.0638,-0.1093,紐約大都會,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.9,4.28,7.18,6.5,,,無大小分盤口
822701,2026-08-09 06:45,2026-08-08T22:45:00Z,辛辛那提紅人 @ 華盛頓國民,10000,3.75,3.71,7.46,0.5559,0.4441,1.80,2.25,DraftKings,-142,+118,-0.0309,-0.0146,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,1.92,4.31,6.23,7.5,,,無大小分盤口
823752,2026-08-09 07:10,2026-08-08T23:10:00Z,明尼蘇達雙城 @ 密爾瓦基釀酒人,10000,3.25,4.0,7.25,0.4613,0.5387,2.17,1.86,DraftKings,+129,-156,0.0246,-0.0707,明尼蘇達雙城,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.57,3.59,7.17,7.5,,,無大小分盤口
824079,2026-08-09 07:10,2026-08-08T23:10:00Z,芝加哥小熊 @ 堪薩斯市皇家,10000,4.4,3.04,7.44,0.6133,0.3867,1.63,2.59,DraftKings,-175,+144,-0.0231,-0.0231,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,4.97,3.7,8.67,7.5,,,無大小分盤口
822864,2026-08-09 07:15,2026-08-08T23:15:00Z,巴爾的摩金鶯 @ 德州遊騎兵,10000,3.01,3.53,6.54,0.4433,0.5567,2.26,1.80,DraftKings,+124,-150,-0.0031,-0.0433,不推薦,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,2.44,2.55,4.99,6.5,,,無大小分盤口
823021,2026-08-09 07:15,2026-08-08T23:15:00Z,科羅拉多洛磯 @ 聖路易紅雀,10000,3.85,4.13,7.98,0.4556,0.5444,2.19,1.84,DraftKings,+135,-163,0.0301,-0.0754,科羅拉多洛磯,projected_recent_lineup_order,unified_expected_runs_v1_adjusted_monte_carlo,可用,3.72,1.25,4.97,8.0,,,無大小分盤口
